Tweets,Survey_Results,VADER,IMPROVED_VADER,TEXTBLOB_PATTER_ANALYZER,,TEXTBLOB_NAIVE_BAYES_CLASSIFIER Probabilities
The guy has a beautiful swing,0.8,0.5994,0.5994,0.85,,0.600094783385317
A few images from last Tuesdays wedding of Bobby and Hanish. Huge congratulations guys and ver best wishes from the Olivepot team x. wedding weddingday weddingfood weddingcaterers…,0.85,0.9001,0.9001,0.3,,0.697093794952091
"Congratulations to Somali Youths. It is a great reminder that May 15, 1943 established SYL liberation of our country in Somalia and the Somali Youth Day celebrated as SYL was the Somali youngsters who oppose the colonial interests and sought to liberate us from our country.",0.85,0.9287,0.9561,0.575,,0.999997265694432
Out of Love x Indiia,0.5,0.6369,0.6369,0.5,,0.527014313387647
"This is the Unelected EU Commissioner for Industry and Entrepreneurship Elżbieta Bieńkowska, She is in charge of the Single Market She has no business, industrial or commercial experience. Her qualifications are a Master's Degree in 'Oriental Philology'. Blimey! That's great!",0.75,0.5399,0.8337,0.30952380952381,,-0.566712534572114
One of luxurious new hotel in Bali.. We decided to stay 3 nights here before we fly back.. it was a good decision.. some of the construction are not 100% finish.. but can you imagine when its all done.. wow.. 😍 Thanks,0.9,0.8689,0.8689,0.322727272727273,,0.95076237886774
"We sell Rakitic and bench Busquets and we have a midfield of FdJ, Arthur and Coutinho. Three amazing ball playing midfielders who can run rings around opponents. Coutinho to give us the drive Iniesta used to give us, Arthur, the control of Xavi. FdJ is the new Busi.",0.6,0.6808,0.6808,0.368181818181818,,0.624080661451702
Outflippinstanding! Wish that I was there! Please say a prayer for me! God Bless All of You! Please stay safe &amp  healthy! Peace,1,0.966,0.966,0.5625,,0.65061709276841
She farts in her sleep. A lot. Prolly the most exciting thing about this visit.,0.6,0.5413,0.5413,0.4,,-0.832798288551835
"Sincerely care for me, because From caring comes courage. ......... Happiness is where we find it, but rarely where we seek it.",0.5,0.8248,0.8248,0.5,,0.972494480996679
Mornin'👊👊 👊👊👊👊 Just boarded my flight to Italy. Life is good.,0.5,0.4404,0.4404,0.7,,0.914384362848053
Good Morning. Beautiful day to you all😊❤️,0.9,0.7783,0.7783,0.775,,0.633998211758749
"On 26th of May is the first of ‘s Soup Review presents evenings! It’ll be an intimate evening of music and delicious soup, with the excellent Ichabod Wolf",0.8,0.8268,0.8268,0.628125,,0.998458158536557
"How very kind of you to say 🙏 thank you. I simply love the confidence-boosting and life-changing work I do. Without the joy of collaboration, the story may be different! Thanks so much Clare.",0.8,0.7795,0.7795,0.413333333333333,,0.982684335244701
Unbelievable!!!,0.5,0.3971,0.3971,-0.48828125,,-0.652542372881356
Beautiful ❤️❤️❤️❤️❤️,0.7,0.5994,0.5994,0.85,,0.622767857142857
The support I get from people I don’t even know is really unreal. I appreciate it though 💪🏾💙,0.5,0.6887,0.6887,0.2,,0.765663663341026
Uwew 💖 PRODUCE X 101 Find a Trainee! Which Trainee is the perfect match with you?,0.8,0.7345,0.8252,1,,0.874899620147069
How beautiful!!! 😍🌺,0.75,0.6981,0.6981,1,,0.606697991932266
Thank you so much!!!,0.6,0.5229,0.5229,0.390625,,0.510478323964688
Good morning my love friend 💖😘,1,0.8834,0.8834,0.6,,0.53738520206792
I see. Stay strong sis okay. You got this!,0.7,0.6696,0.6696,0.529166666666667,,0.586766710505235
This was a great selection of gloves had 5/6 pairs off this page 👍👏,0.9,0.6249,0.6249,0.8,,-0.883338312334426
"in other news, smashed my econ paper so i’m happy!!",0.8,0.677,0.677,0.4375,,-0.54637343009834
I'm feeling better,0.4,0.5267,0.5267,0.5,,0.519217591972717
Thanks my boss 🙏🏼🙌🏻,0.6,0.4404,0.4404,0.2,,0.558823529411765
Love!!,0.9,0.6988,0.6988,0.78125,,0.5441400304414
"I don’t even want so much, just GOOD FOOD and the kinda motivation in the video on a daily😌",0.6,0.7433,0.716,0.45,,-0.630097893226141
It's going well u,0.45,0.2732,0.2732,0,,0.509065249266862
Never gets old.. 😂,0.7,0.4404,0.4404,0.1,,-0.500234312793305
"It was good, one hell of a night!!",0.9,-0.508,-0.508,1,,-0.527299233140915
We eat chickens before they are alive and after they are dead.,0.95,-0.4019,-0.4019,-0.05,,0.921000463498211
Congrats to a wonderful team x,0.9,0.7964,0.7964,1,,0.708316051430941
He wants to cover his own corrupt ass whole keeping us voters here in the fucking dark about the whole thing. Why won't he let us know which areas were compromised? I think it was more than 2. He is just trying to obscure how bad it really was and is now. He is corrupt.,-0.8,-0.7906,-0.7906,0.005,,-0.660659345131321
It's all falling apart,-0.3,-0.1531,-0.1531,0,,0.50151360452081
New edits coming your way for the Big Red Marching Machine summer promo!!! 😭 Can’t believe I’m going to be doing more action shots than marching next season 👀,-0.75,-0.6093,-0.6093,0.122727272727273,,-0.808790851281891
Just wanted to be part of the up crew dang im hurt,-0.6,-0.5267,-0.5267,0,,0.713775054260664
"He’s shit, overpriced and likes a bit of self promotion. That’s all. He’s out there to be kicked.",-0.9,-0.2023,-0.2023,-0.2,,-0.850326794074042
Kind of terrifying there is probably more than one serial killer loose.,-0.9,-0.8834,-0.8752,0.005769230769231,,0.815562801130923
Flight attendant action figures? What an amazing way to generate some secondary revenue. I think I’m going to close every project by opening a box of “Action Stevenson“ figures and see who wants to pay 20 euros for one. Worst case I get 4-5 weeks of mandatory stress leave.,-0.67,-0.5267,-0.5267,-0.014285714285714,,0.963178373049754
Will u also call Satwant Singh and Beant Singh terrorists? Say it loudly,-0.5,-0.6249,-0.6249,0.1,,-0.578515575317519
They were lying.,-0.5,-0.5267,-0.5267,0,,-0.52146419174041
i hate that when i obsess over something it’s all i put my energy into for like two weeks... then i’m over it. the pisces jumped out.,-0.4,-0.2732,-0.2732,-0.8,,-0.570414745653494
It's liberal craziness mental disorder comes to mind though definitely,-0.45,-0.3818,-0.3818,-0.05,,0.981459886451117
